Model,Expected,Matched,Missed,Extra,Recall%,SeverityMismatchTypes,Cost($),Time(s),InputTokens,OutputTokens
grok-4.5,95,89,6,0,93.7,7,0.058,381.3,13287,5213
qwen3.8-max-preview,95,89,6,1,93.7,3,0.368,725.2,13320,44647
kimi-k2.7-code,95,87,8,0,91.6,2,0.151,535.1,12773,37180
gemini-3.1-pro-preview,95,85,10,0,89.5,4,0.099,166.9,14339,5233
gpt-5.6-terra,95,85,10,0,89.5,1,0.147,60.1,12845,7659
gpt-5.6-sol,95,85,10,7,89.5,4,0.371,147.2,12845,10227
kimi-k3,95,83,12,0,87.4,4,0.449,762.3,12929,29696
gpt-5.6-luna,95,82,13,1,86.3,3,0.06,48.5,12845,7848
glm-5.2,95,82,13,0,86.3,4,0.082,172.4,12540,14740
claude-sonnet-5,95,82,13,1,86.3,5,0.289,175.4,24744,23908
claude-opus-4-8,95,82,13,4,86.3,6,0.295,68.4,24942,6813
claude-fable-5,95,82,13,0,86.3,4,1.084,152.0,24942,16695
qwen3.7-max,95,81,14,0,85.3,3,0.183,362.9,13100,19977
gemini-flash-latest,95,79,16,0,83.2,7,0.061,79.6,14339,4468
MiniMax M3,95,77,18,0,81.1,3,0.055,260.6,13290,42754
qwen3.7-plus,95,70,25,0,73.7,3,0.036,346.9,13155,19036
qwen3.6-35b-a3b-ud-mlx,95,68,27,1,71.6,3,0.0,307.9,13098,27432
gemini-3.1-flash-lite,95,11,84,46,11.6,2,0.009,10.2,14339,3366
